"alpha","case_id","policy","pass_cyclic","checked_from_t","checked_to_t","detail"
0.9,"1q_L1_frobenius","uniform",TRUE,4,40,"ok"
0.9,"1q_L1_bures","uniform",TRUE,4,40,"ok"
0.9,"1q_L1_observable","uniform",TRUE,4,40,"ok"
0.9,"1q_L2_frobenius","uniform",TRUE,4,40,"ok"
0.9,"1q_L2_bures","uniform",TRUE,4,40,"ok"
0.9,"1q_L2_observable","uniform",TRUE,4,40,"ok"
0.9,"1q_L3_frobenius","uniform",TRUE,5,40,"ok"
0.9,"1q_L3_bures","uniform",TRUE,5,40,"ok"
0.9,"1q_L3_observable","uniform",TRUE,5,40,"ok"
0.9,"2q_A_frobenius","uniform",TRUE,16,40,"ok"
0.9,"2q_A_bures","uniform",TRUE,16,40,"ok"
0.9,"2q_A_observable","uniform",TRUE,16,40,"ok"
0.9,"2q_B_frobenius","uniform",TRUE,6,40,"ok"
0.9,"2q_B_bures","uniform",TRUE,6,40,"ok"
0.9,"2q_B_observable","uniform",TRUE,6,40,"ok"
