"alpha","case","system","library","loss","pure_state","k","oracle_min","uniform","ratio_uniform_over_opt"
0.99,1,"1q","L1","frobenius","cos(0.2)|0> + i sin(0.2)|1>",3,2.66861272444693,3.00234448847811,1.12505814761876
0.99,2,"1q","L1","bures","cos(0.2)|0> + i sin(0.2)|1>",3,91.1053794330822,123.465593966652,1.35519543121313
0.99,3,"1q","L1","observable","cos(0.2)|0> + i sin(0.2)|1>",3,5.33722569505868,6.00468897695623,1.12505809572855
0.99,4,"1q","L2","frobenius","cos(0.2)|0> + i sin(0.2)|1>",9,2.17843740871556,2.38337765531309,1.09407672021129
0.99,5,"1q","L2","bures","cos(0.2)|0> + i sin(0.2)|1>",9,33.4788863359671,107.406383470523,3.20818268542984
0.99,6,"1q","L2","observable","cos(0.2)|0> + i sin(0.2)|1>",9,13.0705429722878,14.3002659318785,1.09408354053829
0.99,7,"1q","L3","frobenius","cos(0.2)|0> + i sin(0.2)|1>",4,2.56278054660658,3.67969787244299,1.43582246139465
0.99,8,"1q","L3","bures","cos(0.2)|0> + i sin(0.2)|1>",4,18.7451389276469,22.9577575493074,1.22473125634974
0.99,9,"1q","L3","observable","cos(0.2)|0> + i sin(0.2)|1>",4,5.18639271977157,6.83234869007651,1.31736045826808
0.99,10,"2q","A","frobenius","cos(0.2)|00> + i sin(0.2)|11>",15,41.0080668204415,45.223875,1.10280436281032
0.99,11,"2q","A","bures","cos(0.2)|00> + i sin(0.2)|11>",15,2143.95647129563,2325.03882263724,1.08446176672242
0.99,12,"2q","A","observable","cos(0.2)|00> + i sin(0.2)|11>",15,164.032268310207,180.8955,1.10280435589601
0.99,13,"2q","B","frobenius","cos(0.2)|00> + i sin(0.2)|11>",5,13.8338076905935,15.074625,1.08969456111857
0.99,14,"2q","B","bures","cos(0.2)|00> + i sin(0.2)|11>",5,661.61513163862,725.247504330487,1.09617732371729
0.99,15,"2q","B","observable","cos(0.2)|00> + i sin(0.2)|11>",5,93.041963808687,96.7007387493993,1.03932392214158
