"case","system","library","loss","pure_state","ratio_uniform_over_opt_a099","ratio_uniform_over_opt_a0999"
1,"1q","L1","frobenius","cos(0.2)|	0>+i sin(0.2) |1>",1.12505814761876,1.12406056020386
2,"1q","L1","bures","cos(0.2)|	0>+i sin(0.2) |1>",1.35519543121313,1.44970032730116
3,"1q","L1","observable","cos(0.2)|	0>+i sin(0.2) |1>",1.12505809572855,1.12406050946107
4,"1q","L2","frobenius","cos(0.2)|	0>+i sin(0.2) |1>",1.09407672021129,1.09602593158589
5,"1q","L2","bures","cos(0.2)|	0>+i sin(0.2) |1>",3.20818268542984,3.62309707194377
6,"1q","L2","observable","cos(0.2)|	0>+i sin(0.2) |1>",1.09408354053829,1.09603119969808
7,"1q","L3","frobenius","cos(0.2)|	0>+i sin(0.2) |1>",1.43582246139465,1.44809545825305
8,"1q","L3","bures","cos(0.2)|	0>+i sin(0.2) |1>",1.22473125634974,1.22925150868663
9,"1q","L3","observable","cos(0.2)|	0>+i sin(0.2) |1>",1.31736045826808,1.32780449615041
10,"2q","A","frobenius","cos(0.2)|	00>+i sin(0.2) |11>",1.10280436281032,1.12179341909777
11,"2q","A","bures","cos(0.2)|	00>+i sin(0.2) |11>",1.08446176672242,1.10499368404387
12,"2q","A","observable","cos(0.2)|	00>+i sin(0.2) |11>",1.10280435589601,1.12179345296555
13,"2q","B","frobenius","cos(0.2)|	00>+i sin(0.2) |11>",1.08969456111857,1.09650965144034
14,"2q","B","bures","cos(0.2)|	00>+i sin(0.2) |11>",1.09617732371729,1.10515350648729
15,"2q","B","observable","cos(0.2)|	00>+i sin(0.2) |11>",1.03932392214158,1.04304321194759
