"case","system","library","loss","pure_state","ratio_099_calc","ratio_099_expected","ratio_099_diff","ratio_0999_calc","ratio_0999_expected","ratio_0999_diff","match_6dp_099","match_6dp_0999","match_6dp_both"
1,"1q","L1","frobenius","cos(0.2)|0> + i sin(0.2)|1>",1.12505814761876,1.125058,1.47618760104606e-07,1.12406056020386,1.124061,-4.39796139950488e-07,TRUE,TRUE,TRUE
2,"1q","L1","bures","cos(0.2)|0> + i sin(0.2)|1>",1.35519543121313,1.355195,4.3121313009209e-07,1.44970032730116,1.4497,3.27301159952498e-07,TRUE,TRUE,TRUE
3,"1q","L1","observable","cos(0.2)|0> + i sin(0.2)|1>",1.12505809572855,1.125058,9.57285501979044e-08,1.12406050946107,1.124061,-4.90538929920348e-07,TRUE,TRUE,TRUE
4,"1q","L2","frobenius","cos(0.2)|0> + i sin(0.2)|1>",1.09407672021129,1.094077,-2.79788709978135e-07,1.09602593158589,1.096026,-6.84141099327462e-08,TRUE,TRUE,TRUE
5,"1q","L2","bures","cos(0.2)|0> + i sin(0.2)|1>",3.20818268542984,3.208183,-3.1457016014258e-07,3.62309707194377,3.623097,7.1943770052485e-08,TRUE,TRUE,TRUE
6,"1q","L2","observable","cos(0.2)|0> + i sin(0.2)|1>",1.09408354053829,1.094084,-4.59461710011766e-07,1.09603119969808,1.096031,1.99698080072253e-07,TRUE,TRUE,TRUE
7,"1q","L3","frobenius","cos(0.2)|0> + i sin(0.2)|1>",1.43582246139465,1.435822,4.61394650042024e-07,1.44809545825305,1.448095,4.58253050172885e-07,TRUE,TRUE,TRUE
8,"1q","L3","bures","cos(0.2)|0> + i sin(0.2)|1>",1.22473125634974,1.224731,2.5634973987998e-07,1.22925150868663,1.229252,-4.91313369987978e-07,TRUE,TRUE,TRUE
9,"1q","L3","observable","cos(0.2)|0> + i sin(0.2)|1>",1.31736045826808,1.31736,4.58268079928104e-07,1.32780449615041,1.327804,4.96150410089768e-07,TRUE,TRUE,TRUE
10,"2q","A","frobenius","cos(0.2)|00> + i sin(0.2)|11>",1.10280436281032,1.102804,3.62810320009288e-07,1.12179341909777,1.121793,4.19097770043564e-07,TRUE,TRUE,TRUE
11,"2q","A","bures","cos(0.2)|00> + i sin(0.2)|11>",1.08446176672242,1.084462,-2.33277580141689e-07,1.10499368404387,1.104994,-3.15956129925965e-07,TRUE,TRUE,TRUE
12,"2q","A","observable","cos(0.2)|00> + i sin(0.2)|11>",1.10280435589601,1.102804,3.5589600999586e-07,1.12179345296555,1.121793,4.5296554995744e-07,TRUE,TRUE,TRUE
13,"2q","B","frobenius","cos(0.2)|00> + i sin(0.2)|11>",1.08969456111857,1.089695,-4.38881430087079e-07,1.09650965144034,1.09651,-3.48559660023895e-07,TRUE,TRUE,TRUE
14,"2q","B","bures","cos(0.2)|00> + i sin(0.2)|11>",1.09617732371729,1.096177,3.23717290084957e-07,1.10515350648729,1.105154,-4.93512710031396e-07,TRUE,TRUE,TRUE
15,"2q","B","observable","cos(0.2)|00> + i sin(0.2)|11>",1.03932392214158,1.039324,-7.78584199334631e-08,1.04304321194759,1.043043,2.11947590145201e-07,TRUE,TRUE,TRUE
